Home Aurelia Icon Audit (manual list, all sizes/contexts)
Root: HomeAurelia-Full-Pack/Core/HomeAurelia-Icons
Columns: path	status	px	visible_ratio	near_black_ratio	electric_blue_ratio	flags
HomeAurelia-Full-Pack/Core/HomeAurelia-Icons/16x16/actions/office-calendar.png	OK	16x16	0.9492	0.1564	0.0247	
HomeAurelia-Full-Pack/Core/HomeAurelia-Icons/16x16/actions/preferences-system.png	OK	16x16	0.9492	0.1605	0.0165	
HomeAurelia-Full-Pack/Core/HomeAurelia-Icons/16x16/actions/system-settings.png	OK	16x16	0.9492	0.1605	0.0165	
HomeAurelia-Full-Pack/Core/HomeAurelia-Icons/16x16/actions/system-shutdown.png	OK	16x16	0.9492	0.1399	0.0329	
HomeAurelia-Full-Pack/Core/HomeAurelia-Icons/16x16/actions/system-reboot.png	OK	16x16	0.9492	0.1564	0.0288	
HomeAurelia-Full-Pack/Core/HomeAurelia-Icons/16x16/actions/system-software-install.png	OK	16x16	0.9492	0.1811	0.0082	NO_ELECTRIC_BLUE
HomeAurelia-Full-Pack/Core/HomeAurelia-Icons/16x16/actions/user-trash.png	OK	16x16	0.9492	0.1770	0.0329	
HomeAurelia-Full-Pack/Core/HomeAurelia-Icons/16x16/actions/utilities-terminal.png	OK	16x16	0.9492	0.1440	0.0206	
HomeAurelia-Full-Pack/Core/HomeAurelia-Icons/16x16/actions/user-trash-full.png	OK	16x16	0.9492	0.1770	0.0329	
HomeAurelia-Full-Pack/Core/HomeAurelia-Icons/16x16/actions/user.png	OK	16x16	0.9492	0.1728	0.0082	NO_ELECTRIC_BLUE
HomeAurelia-Full-Pack/Core/HomeAurelia-Icons/16x16/actions/text-x-generic.png	OK	16x16	0.9492	0.1481	0.0535	
HomeAurelia-Full-Pack/Core/HomeAurelia-Icons/16x16/actions/image-x-generic.png	OK	16x16	0.9492	0.1605	0.0412	
HomeAurelia-Full-Pack/Core/HomeAurelia-Icons/16x16/actions/video-x-generic.png	OK	16x16	0.9492	0.1728	0.0288	
HomeAurelia-Full-Pack/Core/HomeAurelia-Icons/16x16/actions/start-here-kde.png	OK	16x16	0.9492	0.1852	0.0082	NO_ELECTRIC_BLUE
HomeAurelia-Full-Pack/Core/HomeAurelia-Icons/16x16/devices/accessories-calculator.png	OK	16x16	0.9492	0.1358	0.0576	
HomeAurelia-Full-Pack/Core/HomeAurelia-Icons/16x16/devices/accessories-text-editor.png	OK	16x16	0.9492	0.1605	0.0247	
HomeAurelia-Full-Pack/Core/HomeAurelia-Icons/16x16/devices/audio-x-generic.png	OK	16x16	0.9492	0.1523	0.0288	
HomeAurelia-Full-Pack/Core/HomeAurelia-Icons/16x16/devices/bluetooth.png	OK	16x16	0.9492	0.1523	0.0082	NO_ELECTRIC_BLUE
HomeAurelia-Full-Pack/Core/HomeAurelia-Icons/16x16/devices/computer.png	OK	16x16	0.9492	0.1687	0.0412	
HomeAurelia-Full-Pack/Core/HomeAurelia-Icons/16x16/devices/dialog-question.png	OK	16x16	0.9492	0.1852	0.0165	
HomeAurelia-Full-Pack/Core/HomeAurelia-Icons/16x16/devices/drive-harddisk.png	OK	16x16	0.9492	0.1605	0.0206	
HomeAurelia-Full-Pack/Core/HomeAurelia-Icons/16x16/devices/folder-documents.png	OK	16x16	0.9492	0.1481	0.0535	
HomeAurelia-Full-Pack/Core/HomeAurelia-Icons/16x16/devices/folder-downloads.png	OK	16x16	0.9492	0.1811	0.0082	NO_ELECTRIC_BLUE
HomeAurelia-Full-Pack/Core/HomeAurelia-Icons/16x16/devices/folder-home.png	OK	16x16	0.9492	0.1481	0.0329	
HomeAurelia-Full-Pack/Core/HomeAurelia-Icons/16x16/devices/folder-music.png	OK	16x16	0.9492	0.1523	0.0288	
HomeAurelia-Full-Pack/Core/HomeAurelia-Icons/16x16/devices/folder-pictures.png	OK	16x16	0.9492	0.1605	0.0412	
HomeAurelia-Full-Pack/Core/HomeAurelia-Icons/16x16/devices/folder-videos.png	OK	16x16	0.9492	0.1728	0.0288	
HomeAurelia-Full-Pack/Core/HomeAurelia-Icons/16x16/devices/internet-mail.png	OK	16x16	0.9492	0.1440	0.0412	
HomeAurelia-Full-Pack/Core/HomeAurelia-Icons/16x16/devices/internet-web-browser.png	OK	16x16	0.9492	0.1358	0.0576	
HomeAurelia-Full-Pack/Core/HomeAurelia-Icons/16x16/devices/network-firewall.png	OK	16x16	0.9492	0.1276	0.0494	
HomeAurelia-Full-Pack/Core/HomeAurelia-Icons/16x16/devices/network-wireless.png	OK	16x16	0.9492	0.1728	0.0082	NO_ELECTRIC_BLUE
HomeAurelia-Full-Pack/Core/HomeAurelia-Icons/16x16/devices/office-calendar.png	OK	16x16	0.9492	0.1564	0.0247	
HomeAurelia-Full-Pack/Core/HomeAurelia-Icons/16x16/devices/preferences-system.png	OK	16x16	0.9492	0.1605	0.0165	
HomeAurelia-Full-Pack/Core/HomeAurelia-Icons/16x16/devices/system-settings.png	OK	16x16	0.9492	0.1605	0.0165	
HomeAurelia-Full-Pack/Core/HomeAurelia-Icons/16x16/devices/system-shutdown.png	OK	16x16	0.9492	0.1399	0.0329	
HomeAurelia-Full-Pack/Core/HomeAurelia-Icons/16x16/devices/system-reboot.png	OK	16x16	0.9492	0.1564	0.0288	
HomeAurelia-Full-Pack/Core/HomeAurelia-Icons/16x16/devices/system-software-install.png	OK	16x16	0.9492	0.1811	0.0082	NO_ELECTRIC_BLUE
HomeAurelia-Full-Pack/Core/HomeAurelia-Icons/16x16/devices/user-trash.png	OK	16x16	0.9492	0.1770	0.0329	
HomeAurelia-Full-Pack/Core/HomeAurelia-Icons/16x16/devices/utilities-terminal.png	OK	16x16	0.9492	0.1440	0.0206	
HomeAurelia-Full-Pack/Core/HomeAurelia-Icons/16x16/devices/user-trash-full.png	OK	16x16	0.9492	0.1770	0.0329	
HomeAurelia-Full-Pack/Core/HomeAurelia-Icons/16x16/devices/user.png	OK	16x16	0.9492	0.1728	0.0082	NO_ELECTRIC_BLUE
HomeAurelia-Full-Pack/Core/HomeAurelia-Icons/16x16/devices/text-x-generic.png	OK	16x16	0.9492	0.1481	0.0535	
HomeAurelia-Full-Pack/Core/HomeAurelia-Icons/16x16/devices/image-x-generic.png	OK	16x16	0.9492	0.1605	0.0412	
HomeAurelia-Full-Pack/Core/HomeAurelia-Icons/16x16/devices/video-x-generic.png	OK	16x16	0.9492	0.1728	0.0288	
HomeAurelia-Full-Pack/Core/HomeAurelia-Icons/16x16/devices/start-here-kde.png	OK	16x16	0.9492	0.1852	0.0082	NO_ELECTRIC_BLUE
HomeAurelia-Full-Pack/Core/HomeAurelia-Icons/16x16/status/accessories-calculator.png	OK	16x16	0.9492	0.1358	0.0576	
HomeAurelia-Full-Pack/Core/HomeAurelia-Icons/16x16/status/accessories-text-editor.png	OK	16x16	0.9492	0.1605	0.0247	
HomeAurelia-Full-Pack/Core/HomeAurelia-Icons/16x16/status/audio-x-generic.png	OK	16x16	0.9492	0.1523	0.0288	
HomeAurelia-Full-Pack/Core/HomeAurelia-Icons/16x16/status/bluetooth.png	OK	16x16	0.9492	0.1523	0.0082	NO_ELECTRIC_BLUE
HomeAurelia-Full-Pack/Core/HomeAurelia-Icons/16x16/status/computer.png	OK	16x16	0.9492	0.1687	0.0412	
HomeAurelia-Full-Pack/Core/HomeAurelia-Icons/16x16/status/dialog-question.png	OK	16x16	0.9492	0.1852	0.0165	
HomeAurelia-Full-Pack/Core/HomeAurelia-Icons/16x16/status/drive-harddisk.png	OK	16x16	0.9492	0.1605	0.0206	
HomeAurelia-Full-Pack/Core/HomeAurelia-Icons/16x16/status/folder-documents.png	OK	16x16	0.9492	0.1481	0.0535	
HomeAurelia-Full-Pack/Core/HomeAurelia-Icons/16x16/status/folder-downloads.png	OK	16x16	0.9492	0.1811	0.0082	NO_ELECTRIC_BLUE
HomeAurelia-Full-Pack/Core/HomeAurelia-Icons/16x16/status/folder-home.png	OK	16x16	0.9492	0.1481	0.0329	
HomeAurelia-Full-Pack/Core/HomeAurelia-Icons/16x16/status/folder-music.png	OK	16x16	0.9492	0.1523	0.0288	
HomeAurelia-Full-Pack/Core/HomeAurelia-Icons/16x16/status/folder-pictures.png	OK	16x16	0.9492	0.1605	0.0412	
HomeAurelia-Full-Pack/Core/HomeAurelia-Icons/16x16/status/folder-videos.png	OK	16x16	0.9492	0.1728	0.0288	
HomeAurelia-Full-Pack/Core/HomeAurelia-Icons/16x16/status/internet-mail.png	OK	16x16	0.9492	0.1440	0.0412	
HomeAurelia-Full-Pack/Core/HomeAurelia-Icons/16x16/status/internet-web-browser.png	OK	16x16	0.9492	0.1358	0.0576	
HomeAurelia-Full-Pack/Core/HomeAurelia-Icons/16x16/status/network-firewall.png	OK	16x16	0.9492	0.1276	0.0494	
HomeAurelia-Full-Pack/Core/HomeAurelia-Icons/16x16/status/network-wireless.png	OK	16x16	0.9492	0.1728	0.0082	NO_ELECTRIC_BLUE
HomeAurelia-Full-Pack/Core/HomeAurelia-Icons/16x16/status/office-calendar.png	OK	16x16	0.9492	0.1564	0.0247	
HomeAurelia-Full-Pack/Core/HomeAurelia-Icons/16x16/status/preferences-system.png	OK	16x16	0.9492	0.1605	0.0165	
HomeAurelia-Full-Pack/Core/HomeAurelia-Icons/16x16/status/system-settings.png	OK	16x16	0.9492	0.1605	0.0165	
HomeAurelia-Full-Pack/Core/HomeAurelia-Icons/16x16/status/system-shutdown.png	OK	16x16	0.9492	0.1399	0.0329	
HomeAurelia-Full-Pack/Core/HomeAurelia-Icons/16x16/status/system-reboot.png	OK	16x16	0.9492	0.1564	0.0288	
HomeAurelia-Full-Pack/Core/HomeAurelia-Icons/16x16/status/system-software-install.png	OK	16x16	0.9492	0.1811	0.0082	NO_ELECTRIC_BLUE
HomeAurelia-Full-Pack/Core/HomeAurelia-Icons/16x16/status/user-trash.png	OK	16x16	0.9492	0.1770	0.0329	
HomeAurelia-Full-Pack/Core/HomeAurelia-Icons/16x16/status/utilities-terminal.png	OK	16x16	0.9492	0.1440	0.0206	
HomeAurelia-Full-Pack/Core/HomeAurelia-Icons/16x16/status/user-trash-full.png	OK	16x16	0.9492	0.1770	0.0329	
HomeAurelia-Full-Pack/Core/HomeAurelia-Icons/16x16/status/user.png	OK	16x16	0.9492	0.1728	0.0082	NO_ELECTRIC_BLUE
HomeAurelia-Full-Pack/Core/HomeAurelia-Icons/16x16/status/text-x-generic.png	OK	16x16	0.9492	0.1481	0.0535	
HomeAurelia-Full-Pack/Core/HomeAurelia-Icons/16x16/status/image-x-generic.png	OK	16x16	0.9492	0.1605	0.0412	
HomeAurelia-Full-Pack/Core/HomeAurelia-Icons/16x16/status/video-x-generic.png	OK	16x16	0.9492	0.1728	0.0288	
HomeAurelia-Full-Pack/Core/HomeAurelia-Icons/16x16/status/start-here-kde.png	OK	16x16	0.9492	0.1852	0.0082	NO_ELECTRIC_BLUE
HomeAurelia-Full-Pack/Core/HomeAurelia-Icons/16x16/mimetypes/accessories-calculator.png	OK	16x16	0.9492	0.1358	0.0576	
HomeAurelia-Full-Pack/Core/HomeAurelia-Icons/16x16/mimetypes/accessories-text-editor.png	OK	16x16	0.9492	0.1605	0.0247	
HomeAurelia-Full-Pack/Core/HomeAurelia-Icons/16x16/mimetypes/audio-x-generic.png	OK	16x16	0.9492	0.1523	0.0288	
HomeAurelia-Full-Pack/Core/HomeAurelia-Icons/16x16/mimetypes/bluetooth.png	OK	16x16	0.9492	0.1523	0.0082	NO_ELECTRIC_BLUE
HomeAurelia-Full-Pack/Core/HomeAurelia-Icons/16x16/mimetypes/computer.png	OK	16x16	0.9492	0.1687	0.0412	
HomeAurelia-Full-Pack/Core/HomeAurelia-Icons/16x16/mimetypes/dialog-question.png	OK	16x16	0.9492	0.1852	0.0165	
HomeAurelia-Full-Pack/Core/HomeAurelia-Icons/16x16/mimetypes/drive-harddisk.png	OK	16x16	0.9492	0.1605	0.0206	
HomeAurelia-Full-Pack/Core/HomeAurelia-Icons/16x16/mimetypes/folder-documents.png	OK	16x16	0.9492	0.1481	0.0535	
HomeAurelia-Full-Pack/Core/HomeAurelia-Icons/16x16/mimetypes/folder-downloads.png	OK	16x16	0.9492	0.1811	0.0082	NO_ELECTRIC_BLUE
HomeAurelia-Full-Pack/Core/HomeAurelia-Icons/16x16/mimetypes/folder-home.png	OK	16x16	0.9492	0.1481	0.0329	
